game_id,play_id,play_number,period,play_type,scoring_team,offense,defense,offenseScore,defenseScore,n_dup_for_this_pn,prev_play_id,prev_play_number,prev_period,prev_play_type,prev_offense,prev_defense,prev_offenseScore,prev_defenseScore,n_dup_for_prev_pn,prev_team_score,this_team_score,diff,bucket,scoring_flag,yardsGained,playText,prev_playText,_season,_week,_homeTeam,_awayTeam,_homePoints,_awayPoints,_play_type_label
400869067,400869067101978801,11,1,Field Goal Good,LSU,LSU,Texas A&M,10,7,4,400869067104999901,10,4,Rush,Texas A&M,LSU,33,54,6,54,10,-44,OTHER,True,23,Colby Delahoussaye 23 yd FG GOOD,TEAM run for 2 yds to the TexAM 42,2016,13,Texas A&M,LSU,39,54,FIELD_GOAL
401426347,401426347101929601,8,1,Field Goal Good,Louisiana,Louisiana,Marshall,3,0,10,401426347104977001,7,4,Pass Reception,Louisiana,Marshall,23,13,14,23,3,-20,OTHER,True,42,Kenneth Almendares 42 yd FG GOOD,Ben Wooldridge pass complete to Pearse Migl for 6 yds to the Marsh 23 for a 1ST down,2022,7,Marshall,Louisiana,13,23,FIELD_GOAL
400756902,400756902102925201,11,2,Field Goal Good,Pittsburgh,Pittsburgh,Youngstown State,17,3,2,400756902104997301,10,4,Punt,Pittsburgh,Youngstown State,45,37,3,45,17,-28,OTHER,True,45,Chris Blewitt 45 yd FG GOOD,"Ryan Winslow punt for 34 yds, fair catch by Andre Stubbs at the YngSt 17",2015,1,Pittsburgh,Youngstown State,45,37,FIELD_GOAL
401212518,401212518102857901,13,2,Field Goal Good,Temple,Temple,UCF,3,21,1,401212518104924001,12,4,Field Goal Good,Temple,UCF,13,38,2,13,3,-10,OTHER,True,30,Rory Bell 30 yd FG GOOD,Rory Bell 24 yd FG GOOD,2020,11,UCF,Temple,38,13,FIELD_GOAL
401413216,401413216101968201,7,1,Safety,Tulsa,Jacksonville State,Tulsa,0,9,14,401413216101948301,7,1,Punt,Tulsa,Jacksonville State,13,0,14,13,9,-4,OTHER,True,7,run for 7 yds for a SAFETY,Lachlan Wilson punt for 50 yds,2022,3,Tulsa,Jacksonville State,54,17,SAFETY
401012801,401012801103977801,1,3,Safety,UCLA,Stanford,UCLA,41,29,32,401012801103979001,1,3,Kickoff,Stanford,UCLA,41,36,32,36,29,-7,OTHER,True,-3,Bryce Love run for a loss of 3 yards for a SAFETY,"Jake Bailey kickoff for 73 yds , Darnay Holmes return for 93 yds for a TD (JJ Molson KICK)",2018,13,UCLA,Stanford,42,49,SAFETY
401012799,401012799103868501,2,3,Safety,Arizona,Arizona State,Arizona,14,24,27,401012799103878203,2,3,Rush,Arizona State,Arizona,14,27,27,27,24,-3,OTHER,True,-4,Eno Benjamin run for a loss of 4 yards for a SAFETY,Eno Benjamin run for a loss of 4 yards to the ArzSt 31,2018,13,Arizona,Arizona State,40,41,SAFETY
400869347,400869347101867501,6,1,Safety,Western Kentucky,Rice,Western Kentucky,0,2,17,400869347104948706,5,4,Pass Reception,Rice,Western Kentucky,14,46,19,46,2,-44,OTHER,True,0,Team Safety,Tyler Stehling pass complete to Zach Wright for 8 yds to the Rice 37,2016,1,Western Kentucky,Rice,46,14,SAFETY
401282218,401282218104999904,7,4,Safety,Southern Miss,Rice,Southern Miss,24,19,13,401282218104968811,7,4,Pass Reception,Southern Miss,Rice,32,49,13,32,19,-13,OTHER,True,0,Team Safety,Jake Lange pass complete to Jason Brownlee for 9 yds to the Rice 40,2021,5,Rice,Southern Miss,24,19,SAFETY
401262493,401262493103897001,3,3,Safety,UL Monroe,Arkansas State,UL Monroe,35,9,25,401262493104906003,3,4,Pass Incompletion,Arkansas State,UL Monroe,45,15,25,15,9,-6,OTHER,True,0,"ARKANSAS ST Penalty, intentional grounding (-9 Yards) to the ArkSt 0 for a SAFETY",Logan Bonner pass incomplete to Jeff Foreman,2020,14,Arkansas State,UL Monroe,48,15,SAFETY
400933901,400933901101865901,6,1,Safety,UConn,Missouri,UConn,0,2,16,400933901104958807,5,4,Rush,UConn,Missouri,12,52,24,12,2,-10,OTHER,True,-27,TEAM run for -27 yds for a SAFETY,Kevin Mensah run for 1 yd to the Misso 30,2017,9,UConn,Missouri,12,52,SAFETY
401426609,401426609104948501,1,4,Safety,UTEP,Florida International,UTEP,6,40,25,401426609104938801,1,4,Rush,UTEP,Florida International,41,12,25,41,40,-1,OTHER,True,-1,Team Safety,Calvin Brownholtz run for 2 yds to the FlaIn 1,2022,12,UTEP,Florida International,40,6,SAFETY
401282644,401282644101865402,4,1,Safety,Pittsburgh,New Hampshire,Pittsburgh,0,2,26,401282644104999901,3,4,Rush,New Hampshire,Pittsburgh,7,77,28,77,2,-75,OTHER,True,0,Bret Edwards sacked by Phil Campbell III for 0 yards for a SAFETY,Isaac Seide run for no gain to the NHamp 24,2021,4,Pittsburgh,New Hampshire,77,7,SAFETY
400934556,400934556101858901,3,1,Safety,Baylor,TCU,Baylor,0,2,29,400934556104999902,2,4,End of Game,Baylor,TCU,22,45,31,22,2,-20,OTHER,True,0,"Kenny Hill sacked by Lenoy Jones Jr. for a loss of 8 yards for a SAFETY Kenny Hill fumbled, , return for 0 yards for a SAFETY",End of 4th Quarter,2017,13,TCU,Baylor,45,22,SAFETY
