season,season_type,fav_deficit,quarter,n_triggers
2021,postseason,3,4,2
2021,postseason,7,1,15
2021,postseason,7,2,2
2021,postseason,7,3,3
2021,postseason,7,4,1
2021,postseason,10,1,7
2021,postseason,10,2,2
2021,postseason,10,3,3
2021,postseason,10,4,3
2021,postseason,14,1,4
2021,postseason,14,2,1
2021,postseason,14,3,3
2021,postseason,14,4,2
2021,postseason,21,2,2
2021,postseason,21,3,1
2021,postseason,21,4,1
2021,regular,3,1,280
2021,regular,3,2,89
2021,regular,3,3,41
2021,regular,3,4,20
2021,regular,7,1,182
2021,regular,7,2,71
2021,regular,7,3,37
2021,regular,7,4,23
2021,regular,10,1,62
2021,regular,10,2,80
2021,regular,10,3,40
2021,regular,10,4,26
2021,regular,14,1,36
2021,regular,14,2,42
2021,regular,14,3,31
2021,regular,14,4,29
2021,regular,21,1,6
2021,regular,21,2,14
2021,regular,21,3,18
2021,regular,21,4,16
2022,postseason,3,1,19
2022,postseason,3,2,7
2022,postseason,3,3,3
2022,postseason,3,4,1
2022,postseason,7,1,13
2022,postseason,7,2,8
2022,postseason,7,3,2
2022,postseason,10,1,4
2022,postseason,10,2,9
2022,postseason,10,3,2
2022,postseason,10,4,1
2022,postseason,14,1,3
2022,postseason,14,2,5
2022,postseason,14,3,2
2022,postseason,14,4,1
2022,postseason,21,2,1
2022,postseason,21,3,1
2022,postseason,21,4,2
2022,regular,3,1,305
2022,regular,3,2,104
2022,regular,3,3,21
2022,regular,3,4,22
2022,regular,7,1,192
2022,regular,7,2,74
2022,regular,7,3,37
2022,regular,7,4,20
2022,regular,10,1,65
2022,regular,10,2,92
2022,regular,10,3,29
2022,regular,10,4,23
2022,regular,14,1,36
2022,regular,14,2,49
2022,regular,14,3,24
2022,regular,14,4,26
2022,regular,21,1,4
2022,regular,21,2,20
2022,regular,21,3,19
2022,regular,21,4,15
2023,postseason,3,1,24
2023,postseason,3,2,3
2023,postseason,3,3,3
2023,postseason,3,4,2
2023,postseason,7,1,17
2023,postseason,7,2,5
2023,postseason,7,3,3
2023,postseason,7,4,4
2023,postseason,10,1,5
2023,postseason,10,2,7
2023,postseason,10,3,4
2023,postseason,10,4,3
2023,postseason,14,1,4
2023,postseason,14,2,7
2023,postseason,14,3,3
2023,postseason,21,1,1
2023,postseason,21,2,2
2023,postseason,21,3,2
2023,postseason,21,4,2
2023,regular,3,1,315
2023,regular,3,2,89
2023,regular,3,3,24
2023,regular,3,4,21
2023,regular,7,1,200
2023,regular,7,2,81
2023,regular,7,3,26
2023,regular,7,4,23
2023,regular,10,1,53
2023,regular,10,2,103
2023,regular,10,3,37
2023,regular,10,4,30
2023,regular,14,1,30
2023,regular,14,2,63
2023,regular,14,3,24
2023,regular,14,4,31
2023,regular,21,1,4
2023,regular,21,2,17
2023,regular,21,3,14
2023,regular,21,4,14
2024,postseason,3,1,26
2024,postseason,3,2,3
2024,postseason,3,4,3
2024,postseason,7,1,19
2024,postseason,7,2,5
2024,postseason,7,4,2
2024,postseason,10,1,7
2024,postseason,10,2,5
2024,postseason,10,3,3
2024,postseason,10,4,1
2024,postseason,14,1,3
2024,postseason,14,2,4
2024,postseason,14,3,3
2024,postseason,14,4,2
2024,postseason,21,2,2
2024,postseason,21,3,1
2024,postseason,21,4,1
2024,regular,3,1,323
2024,regular,3,2,89
2024,regular,3,3,26
2024,regular,3,4,18
2024,regular,7,1,208
2024,regular,7,2,87
2024,regular,7,3,24
2024,regular,7,4,22
2024,regular,10,1,56
2024,regular,10,2,99
2024,regular,10,3,30
2024,regular,10,4,30
2024,regular,14,1,29
2024,regular,14,2,59
2024,regular,14,3,25
2024,regular,14,4,25
2024,regular,21,1,3
2024,regular,21,2,22
2024,regular,21,3,19
2024,regular,21,4,12
