season,season_type,field,n_games,pct_non_null
2016,postseason,startDate,41,100.0
2016,postseason,startTimeTBD,41,100.0
2016,postseason,venue,41,100.0
2016,postseason,venueId,41,100.0
2016,postseason,week,41,100.0
2016,regular,attendance,832,100.0
2016,regular,awayClassification,832,100.0
2016,regular,awayConference,832,100.0
2016,regular,awayId,832,100.0
2016,regular,awayLineScores,832,100.0
2016,regular,awayPoints,832,100.0
2016,regular,awayPostgameElo,832,86.78
2016,regular,awayPostgameWinProbability,832,100.0
2016,regular,awayPregameElo,832,86.78
2016,regular,awayTeam,832,100.0
2016,regular,away_class,832,100.0
2016,regular,away_class_unrecognized,832,100.0
2016,regular,away_ls_len,832,100.0
2016,regular,classification_unrecognized,832,100.0
2016,regular,completed,832,100.0
2016,regular,conferenceGame,832,100.0
2016,regular,excitementIndex,832,98.08
2016,regular,excluded_for_canceled_or_shortened,832,100.0
2016,regular,excluded_for_fcs_opponent,832,100.0
2016,regular,excluded_for_no_spread,832,100.0
2016,regular,excluded_for_not_completed,832,100.0
2016,regular,fbs_vs_fbs,832,100.0
2016,regular,fbs_vs_fcs,832,100.0
2016,regular,has_any_opening_spread,832,100.0
2016,regular,has_any_spread,832,100.0
2016,regular,has_lines_entry,832,100.0
2016,regular,has_open_and_close,832,100.0
2016,regular,has_pregame_elo_both,832,100.0
2016,regular,highlights,832,100.0
2016,regular,homeClassification,832,100.0
2016,regular,homeConference,832,100.0
2016,regular,homeId,832,100.0
2016,regular,homeLineScores,832,100.0
2016,regular,homePoints,832,100.0
2016,regular,homePostgameElo,832,86.78
2016,regular,homePostgameWinProbability,832,100.0
2016,regular,homePregameElo,832,86.78
2016,regular,homeTeam,832,100.0
2016,regular,home_class,832,100.0
2016,regular,home_class_unrecognized,832,100.0
2016,regular,home_ls_len,832,100.0
2016,regular,id,832,100.0
2016,regular,likely_ot,832,100.0
2016,regular,n_providers,832,100.0
2016,regular,neutralSite,832,100.0
2016,regular,notes,832,3.97
2016,regular,passes_exclusion_filter,832,100.0
2016,regular,season,832,100.0
2016,regular,seasonType,832,100.0
2016,regular,shortened_or_canceled,832,100.0
2016,regular,startDate,832,100.0
2016,regular,startTimeTBD,832,100.0
2016,regular,venue,832,100.0
2016,regular,venueId,832,100.0
2016,regular,week,832,100.0
2017,postseason,attendance,40,100.0
2017,postseason,awayClassification,40,100.0
2017,postseason,awayConference,40,100.0
2017,postseason,awayId,40,100.0
2017,postseason,awayLineScores,40,100.0
2017,postseason,awayPoints,40,100.0
2017,postseason,awayPostgameElo,40,100.0
2017,postseason,awayPostgameWinProbability,40,100.0
2017,postseason,awayPregameElo,40,100.0
2017,postseason,awayTeam,40,100.0
2017,postseason,away_class,40,100.0
2017,postseason,away_class_unrecognized,40,100.0
2017,postseason,away_ls_len,40,100.0
2017,postseason,classification_unrecognized,40,100.0
2017,postseason,completed,40,100.0
2017,postseason,conferenceGame,40,100.0
2017,postseason,excitementIndex,40,100.0
2017,postseason,excluded_for_canceled_or_shortened,40,100.0
2017,postseason,excluded_for_fcs_opponent,40,100.0
2017,postseason,excluded_for_no_spread,40,100.0
2017,postseason,excluded_for_not_completed,40,100.0
2017,postseason,fbs_vs_fbs,40,100.0
2017,postseason,fbs_vs_fcs,40,100.0
2017,postseason,has_any_opening_spread,40,100.0
2017,postseason,has_any_spread,40,100.0
2017,postseason,has_lines_entry,40,100.0
2017,postseason,has_open_and_close,40,100.0
2017,postseason,has_pregame_elo_both,40,100.0
2017,postseason,highlights,40,100.0
2017,postseason,homeClassification,40,100.0
2017,postseason,homeConference,40,100.0
2017,postseason,homeId,40,100.0
2017,postseason,homeLineScores,40,100.0
2017,postseason,homePoints,40,100.0
2017,postseason,homePostgameElo,40,100.0
2017,postseason,homePostgameWinProbability,40,100.0
2017,postseason,homePregameElo,40,100.0
2017,postseason,homeTeam,40,100.0
2017,postseason,home_class,40,100.0
2017,postseason,home_class_unrecognized,40,100.0
2017,postseason,home_ls_len,40,100.0
2017,postseason,id,40,100.0
2017,postseason,likely_ot,40,100.0
2017,postseason,n_providers,40,100.0
2017,postseason,neutralSite,40,100.0
2017,postseason,notes,40,77.5
2017,postseason,passes_exclusion_filter,40,100.0
2017,postseason,season,40,100.0
2017,postseason,seasonType,40,100.0
2017,postseason,shortened_or_canceled,40,100.0
2017,postseason,startDate,40,100.0
2017,postseason,startTimeTBD,40,100.0
2017,postseason,venue,40,100.0
2017,postseason,venueId,40,100.0
2017,postseason,week,40,100.0
2017,regular,attendance,834,100.0
2017,regular,awayClassification,834,100.0
2017,regular,awayConference,834,100.0
2017,regular,awayId,834,100.0
2017,regular,awayLineScores,834,100.0
2017,regular,awayPoints,834,100.0
2017,regular,awayPostgameElo,834,88.49
2017,regular,awayPostgameWinProbability,834,100.0
2017,regular,awayPregameElo,834,88.49
2017,regular,awayTeam,834,100.0
2017,regular,away_class,834,100.0
2017,regular,away_class_unrecognized,834,100.0
2017,regular,away_ls_len,834,100.0
2017,regular,classification_unrecognized,834,100.0
2017,regular,completed,834,100.0
2017,regular,conferenceGame,834,100.0
2017,regular,excitementIndex,834,99.4
2017,regular,excluded_for_canceled_or_shortened,834,100.0
2017,regular,excluded_for_fcs_opponent,834,100.0
