season,season_type,fav_deficit,quarter,n_triggers
2021,postseason,7,1,15
2021,postseason,7,2,2
2021,postseason,7,3,3
2021,postseason,7,4,1
2021,postseason,10,1,7
2021,postseason,10,2,2
2021,postseason,10,3,3
2021,postseason,10,4,3
2021,postseason,14,1,4
2021,postseason,14,2,1
2021,postseason,14,3,3
2021,postseason,14,4,2
2021,postseason,21,2,2
2021,postseason,21,3,1
2021,postseason,21,4,1
2021,regular,3,1,270
2021,regular,3,2,88
2021,regular,3,3,46
2021,regular,3,4,26
2021,regular,7,1,175
2021,regular,7,2,70
2021,regular,7,3,40
2021,regular,7,4,28
2021,regular,10,1,58
2021,regular,10,2,76
2021,regular,10,3,43
2021,regular,10,4,31
2021,regular,14,1,34
2021,regular,14,2,37
2021,regular,14,3,33
2021,regular,14,4,34
2021,regular,21,1,6
2021,regular,21,2,14
2021,regular,21,3,16
2021,regular,21,4,18
2022,postseason,3,1,19
2022,postseason,3,2,7
2022,postseason,3,3,3
2022,postseason,3,4,1
2022,postseason,7,1,13
2022,postseason,7,2,8
2022,postseason,7,3,2
2022,postseason,10,1,4
2022,postseason,10,2,8
2022,postseason,10,3,3
2022,postseason,10,4,1
2022,postseason,14,1,3
2022,postseason,14,2,5
2022,postseason,14,3,2
2022,postseason,14,4,1
2022,postseason,21,2,1
2022,postseason,21,3,1
2022,postseason,21,4,2
2022,regular,3,1,302
2022,regular,3,2,100
2022,regular,3,3,26
2022,regular,3,4,24
2022,regular,7,1,190
2022,regular,7,2,76
2022,regular,7,3,36
2022,regular,7,4,21
2022,regular,10,1,64
2022,regular,10,2,89
2022,regular,10,3,33
2022,regular,10,4,23
2022,regular,14,1,36
2022,regular,14,2,46
2022,regular,14,3,27
2022,regular,14,4,26
2022,regular,21,1,4
2022,regular,21,2,19
2022,regular,21,3,20
2022,regular,21,4,15
2023,postseason,3,1,24
2023,postseason,3,2,3
2023,postseason,3,3,3
2023,postseason,3,4,2
2023,postseason,7,1,17
2023,postseason,7,2,5
2023,postseason,7,3,3
2023,postseason,7,4,4
2023,postseason,10,1,5
2023,postseason,10,2,7
2023,postseason,10,3,4
2023,postseason,10,4,3
2023,postseason,14,1,4
2023,postseason,14,2,6
2023,postseason,14,3,4
2023,postseason,21,1,1
2023,postseason,21,2,2
2023,postseason,21,3,2
2023,postseason,21,4,2
2023,regular,3,1,311
2023,regular,3,2,86
2023,regular,3,3,28
2023,regular,3,4,24
2023,regular,7,1,197
2023,regular,7,2,80
2023,regular,7,3,30
2023,regular,7,4,23
2023,regular,10,1,52
2023,regular,10,2,100
2023,regular,10,3,41
2023,regular,10,4,30
2023,regular,14,1,30
2023,regular,14,2,60
2023,regular,14,3,27
2023,regular,14,4,31
2023,regular,21,1,4
2023,regular,21,2,17
2023,regular,21,3,14
2023,regular,21,4,14
2024,postseason,3,1,25
2024,postseason,3,2,4
2024,postseason,3,4,3
2024,postseason,7,1,18
2024,postseason,7,2,6
2024,postseason,7,4,2
2024,postseason,10,1,6
2024,postseason,10,2,6
2024,postseason,10,3,3
2024,postseason,10,4,1
2024,postseason,14,1,3
2024,postseason,14,2,4
2024,postseason,14,3,3
2024,postseason,14,4,2
2024,postseason,21,2,2
2024,postseason,21,3,1
2024,postseason,21,4,1
2024,regular,3,1,313
2024,regular,3,2,94
2024,regular,3,3,29
2024,regular,3,4,20
2024,regular,7,1,204
2024,regular,7,2,89
2024,regular,7,3,26
2024,regular,7,4,22
2024,regular,10,1,54
2024,regular,10,2,97
2024,regular,10,3,34
2024,regular,10,4,30
2024,regular,14,1,27
2024,regular,14,2,58
2024,regular,14,3,28
2024,regular,14,4,25
2024,regular,21,1,3
2024,regular,21,2,18
2024,regular,21,3,23
2024,regular,21,4,12
